model,threshold,precision,recall,f1
rf,0.7142857142857142,0.48660328435609335,0.2260136491368928,0.3086622807017544
rf,0.7346938775510203,0.5402892561983471,0.2099558410276997,0.30239953743856607
rf,0.7551020408163265,0.5911799761620977,0.19911682055399438,0.2978978978978979
rf,0.7755102040816326,0.6441798941798942,0.19550381372942593,0.29996920234062213
rf,0.7959183673469387,0.666189111747851,0.18667201926936974,0.2916274694261524
rf,0.8163265306122448,0.7100313479623824,0.1818546768366118,0.28954937679769893
rf,0.836734693877551,0.717687074829932,0.16940987555198717,0.2741149723936343
rf,0.8571428571428571,0.7235188509874326,0.16178241670012045,0.26443569553805774
rf,0.8775510204081632,0.722753346080306,0.15174628663187475,0.25082946250829463
rf,0.8979591836734693,0.7159353348729792,0.12444801284624649,0.21203830369357046
rf,0.9183673469387754,0.7067039106145251,0.10156563629064633,0.1776061776061776
rf,0.9387755102040816,0.7108843537414966,0.08390204737053392,0.15008976660682227
rf,0.9591836734693877,0.7239583333333334,0.055800883179446,0.10361535594483787
rf,0.9795918367346939,0.8620689655172413,0.010036130068245684,0.01984126984126984
rf,1.0,0.0,0.0,0.0
gb,0.0,0.03785024007779736,1.0,0.07293969518176362
gb,0.02040816326530612,0.03785024007779736,1.0,0.07293969518176362
gb,0.04081632653061224,0.03784803004729103,0.9991971095945403,0.07293345444955607
gb,0.061224489795918366,0.03786933633569668,0.9991971095945403,0.07297301259216911
gb,0.08163265306122448,0.038021534320323014,0.9979927739863509,0.07325230202578269
gb,0.1020408163265306,0.038168174659543586,0.9923725411481332,0.07350907712208395
gb,0.12244897959183673,0.03862411414384261,0.9867523083099157,0.07433842431574172
gb,0.14285714285714285,0.03970098318030389,0.9807306302689683,0.07631274794614688
gb,0.16326530612244897,0.040850340136054424,0.9642713769570453,0.07838018632425642
gb,0.18367346938775508,0.042545507078878934,0.9458048976314734,0.08142810237268218
gb,0.2040816326530612,0.04726445987944017,0.9096748293857888,0.08986001506919936
gb,0.22448979591836732,0.05137466435377706,0.8679245283018868,0.09700722394220847
gb,0.24489795918367346,0.05859980278912523,0.8350060216780409,0.10951403148528405
gb,0.26530612244897955,0.06590306002485641,0.7876354877559213,0.12162916124232843
gb,0.2857142857142857,0.07455327206027376,0.7587314331593737,0.13576610875655484
gb,0.3061224489795918,0.08379252242816157,0.7386591730228824,0.1505112474437628
gb,0.32653061224489793,0.09031512288284665,0.7213970293054998,0.1605324280864749
gb,0.3469387755102041,0.09826622239792172,0.6985146527498997,0.17229428656302603
gb,0.36734693877551017,0.10337787676317743,0.6708149337615416,0.17914768158670596
gb,0.3877551020408163,0.11193011193011193,0.6583701324769169,0.1913317389021758
gb,0.4081632653061224,0.12172725203005236,0.6439181051786431,0.2047485320398264
gb,0.42857142857142855,0.12787744736626525,0.6266559614612606,0.21240985168050075
gb,0.44897959183673464,0.1341009743135518,0.6077880369329587,0.21972280676293449
gb,0.4693877551020408,0.13979611100622993,0.5945403452428744,0.22636606801681314
gb,0.4897959183673469,0.14689902614044079,0.5752709755118426,0.23403560346235505
gb,0.5102040816326531,0.15354200988467875,0.5612203934162987,0.24111762676785098
gb,0.5306122448979591,0.1609633957314892,0.5419510236852669,0.24820739106453393
gb,0.5510204081632653,0.16914255929111285,0.5210758731433159,0.25538612887358586
gb,0.5714285714285714,0.17730698137352482,0.5006021678040947,0.2618647627047459
gb,0.5918367346938775,0.18627602158828066,0.48494580489763145,0.26916221033868093
gb,0.6122448979591836,0.1948967601141514,0.46607788036932957,0.27485795454545453
gb,0.6326530612244897,0.20625702510303484,0.44199116820553996,0.2812619747094137
gb,0.6530612244897959,0.22012973425402804,0.4223203532717784,0.2894085281980743
gb,0.673469387755102,0.23811787072243346,0.40224809313528703,0.2991491267353336
gb,0.6938775510204082,0.25151682294539435,0.36611802488960254,0.29818538499264347
gb,0.7142857142857142,0.2682098765432099,0.34885588117222,0.30326295585412666
gb,0.7346938775510203,0.2959220498015157,0.32918506623845845,0.31166856708475865
gb,0.7551020408163265,0.3289305496378355,0.30991569650742673,0.3191401405539479
gb,0.7755102040816326,0.36987012987012985,0.28582898434363707,0.322463768115942
gb,0.7959183673469387,0.41933497536945813,0.27338418305901246,0.3309842041312272
gb,0.8163265306122448,0.469843633655994,0.2533119229225211,0.3291601460615545
gb,0.836734693877551,0.5350089766606823,0.23926134082697711,0.3306518723994452
gb,0.8571428571428571,0.5837615621788284,0.22802087515054195,0.3279445727482679
gb,0.8775510204081632,0.6219931271477663,0.21798474508229626,0.32282996432818073
gb,0.8979591836734693,0.637434554973822,0.19550381372942593,0.29923195084485404
gb,0.9183673469387754,0.657185628742515,0.17623444399839422,0.2779360557138335
gb,0.9387755102040816,0.7478632478632479,0.1405058209554396,0.23656640757012504
gb,0.9591836734693877,0.7934272300469484,0.06784423926134082,0.125
gb,0.9795918367346939,0.0,0.0,0.0
gb,1.0,0.0,0.0,0.0
baseline,,0.05786761791518034,0.4688879967884384,0.10302094818081588
